"id";"cycles";"model";"country";"failure_cause";"failure_cause_group";"assembly_date";"failure_date";"year";"month"
"5001d4b9d8e525a22b39366913e6e11d";1083,408;"A";"BRA";42240964;352;"2010-01-04";"2010-12-20";"2010";"01"
"b2f63893b160f1b7772bb6bb14e56ef8";1007,264;"A";"BRA";41871042;263;"2010-01-04";"2011-01-18";"2010";"01"
"a92183df777ca1da63be555077dd0e70";925,608;"A";"BRA";42085866;376;"2010-01-04";"2010-12-08";"2010";"01"
"c665fc56726cfc359d72344f20423f83";1182,368;"A";"BRA";42753952;818;"2010-01-04";"2011-01-17";"2010";"01"
"94d9706929d095a24bc9c141f110803c";475,328;"A";"BRA";2139050;431;"2010-01-04";"2011-01-18";"2010";"01"
"9d11f121137128dd053e4c5587f9727c";1485,08;"A";"BRA";6385106;431;"2010-01-04";"2010-12-17";"2010";"01"
"9d11f121137128dd053e4c5587f9727c";1625,408;"A";"BRA";42486096;761;"2010-01-04";"2011-01-19";"2010";"01"
"9d11f121137128dd053e4c5587f9727c";1625,408;"A";"BRA";41049168;413;"2010-01-04";"2011-01-19";"2010";"01"
"3e7f1d7c9acc86e57b5d1d8b9f278857";470,336;"A";"BRA";2139050;431;"2010-01-04";"2011-01-24";"2010";"01"
"bb3793827772d9680e3258f7336aa3c9";557,928;"B";"BRA";41138902;386;"2010-01-04";"2011-01-11";"2010";"01"
"2658c91ecbca5651a53b4b13709c62fa";658;"B";"BRA";42924686;237;"2010-01-04";"2011-01-05";"2010";"01"
"9ed262b43a72f1c31c4692512d5257c4";487,216;"B";"BRA";41008126;321;"2010-01-05";"2010-12-23";"2010";"01"
"9ed262b43a72f1c31c4692512d5257c4";504,728;"B";"BRA";41486652;371;"2010-01-05";"2011-01-12";"2010";"01"
"556e343d5ec073310bd06c31426d986a";355,76;"B";"BRA";42550048;363;"2010-01-05";"2011-01-12";"2010";"01"
"79244a3f8e11ef3c19f33abbfd1db84f";1137,296;"B";"BRA";41649408;364;"2010-01-05";"2011-01-12";"2010";"01"
"4547ea011080f8c7d1d5969b4bd4c82a";840,416;"A";"BRA";41425068;263;"2010-01-05";"2011-01-07";"2010";"01"
"4547ea011080f8c7d1d5969b4bd4c82a";840,416;"A";"BRA";41425068;263;"2010-01-05";"2011-01-07";"2010";"01"
"8773d7a515c79148786c91c6dc188472";1348,312;"A";"BRA";42194898;353;"2010-01-05";"2011-01-21";"2010";"01"
"8773d7a515c79148786c91c6dc188472";1348,312;"A";"BRA";41082894;311;"2010-01-05";"2011-01-21";"2010";"01"
"b72c2ce50244824ea50b6ee3346fa143";1223,328;"A";"BRA";164753948;891;"2010-01-05";"2011-01-12";"2010";"01"
"320740d69fcfc47033bb43582dfc7a25";737,632;"A";"BRA";41406838;481;"2010-01-05";"2010-12-13";"2010";"01"
"bf49261bc39bceca77de9c1532f750d1";1188,6;"A";"BRA";42673232;393;"2010-01-05";"2010-12-27";"2010";"01"
"f7a5e2afa1d72b7097531977064447fd";721,392;"A";"BRA";164734230;352;"2010-01-05";"2010-12-18";"2010";"01"
"f7a5e2afa1d72b7097531977064447fd";721,392;"A";"BRA";41867532;848;"2010-01-05";"2010-12-18";"2010";"01"
"7d36e9545c492436d3b99c12d598e690";1206,92;"A";"BRA";42753952;818;"2010-01-05";"2011-01-13";"2010";"01"
"7d36e9545c492436d3b99c12d598e690";1206,92;"A";"BRA";42020038;311;"2010-01-05";"2011-01-13";"2010";"01"
"efb0d34b75e8362cffdc8c5cc6020365";802,288;"A";"BRA";40798350;364;"2010-01-05";"2010-12-30";"2010";"01"
"f6866a0c43556a1ecb5bf2e171fbf971";175,84;"A";"BRA";0;177;"2010-01-05";"2010-12-22";"2010";"01"
"f6866a0c43556a1ecb5bf2e171fbf971";192,856;"A";"BRA";41406838;481;"2010-01-05";"2011-01-18";"2010";"01"
"b00738146a9fb6f3a383e3cda7b67356";1076,952;"A";"BRA";42020038;311;"2010-01-05";"2010-12-14";"2010";"01"
"b00738146a9fb6f3a383e3cda7b67356";1176,576;"A";"BRA";42753952;818;"2010-01-05";"2011-01-21";"2010";"01"
"0b6d21fa47244de93031f7b35566ab42";641,976;"A";"BRA";0;177;"2010-01-05";"2010-12-31";"2010";"01"
"0b6d21fa47244de93031f7b35566ab42";641,976;"A";"BRA";42240964;352;"2010-01-05";"2010-12-31";"2010";"01"
"90ec9b4c03d9995ed581ef327914bc7c";423,12;"B";"BRA";0;177;"2010-01-05";"2011-01-11";"2010";"01"
"f122825a32a64d87033d09941cbe6cdc";1577,464;"B";"BRA";43090174;213;"2010-01-06";"2011-01-07";"2010";"01"
"f122825a32a64d87033d09941cbe6cdc";1495,24;"B";"BRA";41530588;512;"2010-01-06";"2010-12-14";"2010";"01"
"f122825a32a64d87033d09941cbe6cdc";1495,24;"B";"BRA";41530588;512;"2010-01-06";"2010-12-14";"2010";"01"
"938bdab79dcec59d0d8ee78cec55f470";781,52;"B";"BRA";41933480;818;"2010-01-06";"2011-01-03";"2010";"01"
"c0f8dbb69a6e71545459f9b88e475c47";421,568;"B";"BRA";0;177;"2010-01-06";"2011-01-21";"2010";"01"
"2f2d8d345e59139c60cf185d65678197";983,888;"A";"BRA";42215026;221;"2010-01-06";"2010-12-22";"2010";"01"
"e9f266f01d0e49a16db411d65e2f4e72";1032,256;"A";"BRA";2139992;465;"2010-01-06";"2010-12-23";"2010";"01"
"d0fdbcdcac6b3f29dc8d78c73df59cc9";947,008;"A";"BRA";2139992;465;"2010-01-06";"2011-01-19";"2010";"01"
"e643da74943fa7bff94244aa422ff497";855,216;"A";"BRA";3343962;461;"2010-01-06";"2010-12-22";"2010";"01"
"5b55800b7f36af5f3b356e97bc6913d5";913,84;"A";"BRA";3343962;461;"2010-01-06";"2011-01-06";"2010";"01"
"9f5a2eb084a45a632d9287f004c69bae";971,2;"A";"BRA";41049168;413;"2010-01-06";"2010-12-14";"2010";"01"
"a81170491bef0bbb47b7bed99b3566dc";983,952;"A";"BRA";42753952;818;"2010-01-06";"2010-12-22";"2010";"01"
"6822cd010941d46f014aa86b2fdb083f";484,848;"A";"BRA";0;177;"2010-01-06";"2010-12-21";"2010";"01"
"bb5620eaf053ed37b466544d75d190ee";156,72;"B";"BRA";42687130;432;"2010-01-06";"2011-01-11";"2010";"01"
"bb5620eaf053ed37b466544d75d190ee";156,72;"B";"BRA";42005732;432;"2010-01-06";"2011-01-11";"2010";"01"
"05c20cc51474067a339d784739f58635";22,4;"B";"BRA";0;177;"2010-01-07";"2011-01-04";"2010";"01"
"7376846f01e0b6e5f1568fef7b48a148";57,888;"B";"BRA";0;177;"2010-01-07";"2010-12-29";"2010";"01"
"32ec5efbf03f6ba003c04394cfd34f71";232,8;"B";"BRA";0;177;"2010-01-07";"2010-11-29";"2010";"01"
"43041bb41f4e2bff6de838a7bb3957af";964,88;"A";"BRA";41778268;818;"2010-01-07";"2010-12-24";"2010";"01"
"bb679bbba9ad6183e53fa65f8daaea17";236,176;"A";"BRA";0;999;"2010-01-07";"2010-12-17";"2010";"01"
"ee84015e062e6696b4ccafa36fb333e0";639,632;"A";"BRA";0;177;"2010-01-07";"2010-12-23";"2010";"01"
"e832231eb4252029c8a45353a91e98b1";1131,488;"A";"BRA";42211706;512;"2010-01-07";"2011-01-14";"2010";"01"
"31f4698fff3d83ac2699962f54dffe96";958,752;"A";"BRA";42215026;221;"2010-01-07";"2011-01-08";"2010";"01"
"31df8ac36812112e6bc5ff0ad0daf847";849,848;"B";"BRA";170219360;213;"2010-01-08";"2010-12-15";"2010";"01"
"1748fdaba3d5f04bb0082c086621ebc9";1002,608;"B";"BRA";41672638;874;"2010-01-08";"2011-01-12";"2010";"01"
"fc28dd210d52ecb0135730aa1d151b1b";674,584;"B";"BRA";42550048;363;"2010-01-08";"2011-01-03";"2010";"01"
"4aef3b8c4e16aad5882b515edc55baa4";966,456;"A";"BRA";41114296;874;"2010-01-08";"2011-01-25";"2010";"01"
"856dcde0e28bab6e6d614029b126656f";1257,04;"A";"BRA";42709194;364;"2010-01-08";"2011-01-15";"2010";"01"
"856dcde0e28bab6e6d614029b126656f";1257,04;"A";"BRA";42307936;263;"2010-01-08";"2011-01-15";"2010";"01"
"856dcde0e28bab6e6d614029b126656f";1257,04;"A";"BRA";41871042;263;"2010-01-08";"2011-01-15";"2010";"01"
"856dcde0e28bab6e6d614029b126656f";1257,04;"A";"BRA";2139992;465;"2010-01-08";"2011-01-15";"2010";"01"
"856dcde0e28bab6e6d614029b126656f";1257,04;"A";"BRA";6185030;437;"2010-01-08";"2011-01-24";"2010";"01"
"5042757bdb379b5fbc8744ce886a949f";1241,32;"A";"BRA";16311802;371;"2010-01-08";"2011-01-12";"2010";"01"
"f843c29183c7c598f9e611e1418c4b22";977,632;"A";"BRA";6324322;234;"2010-01-08";"2010-12-27";"2010";"01"
"6da8d3a8d2cfbb3e88c0f968d7068edf";1362,192;"A";"BRA";42020038;311;"2010-01-08";"2011-01-04";"2010";"01"
"a6fde58da0e672ddd60d0a00a5fa391b";984,904;"A";"BRA";2139992;465;"2010-01-08";"2010-12-21";"2010";"01"
"8f77702259ee8f45ea2fffc30fe6d32b";1003,6;"A";"BRA";42690254;255;"2010-01-08";"2010-12-21";"2010";"01"
"0ca55018fff0e60395100def63d32c1d";993,336;"A";"BRA";3259878;252;"2010-01-08";"2010-12-29";"2010";"01"
"0ca55018fff0e60395100def63d32c1d";1046,232;"A";"BRA";6383750;465;"2010-01-08";"2011-01-14";"2010";"01"
"f1f26390300e3a0b47bfd357020bdaef";814,728;"A";"BRA";41697052;432;"2010-01-08";"2011-01-07";"2010";"01"
"d247708671aff75f45a5aba2b8f750f8";1049,984;"B";"BRA";41933480;818;"2010-01-11";"2011-01-13";"2010";"01"
"31cd86bf5a9ae8d1b3771e118c1bdc75";635,76;"B";"BRA";170219360;213;"2010-01-11";"2011-01-05";"2010";"01"
"31cd86bf5a9ae8d1b3771e118c1bdc75";635,76;"B";"BRA";41649408;364;"2010-01-11";"2011-01-05";"2010";"01"
"675252b8f7cb974f9f005dbc13c43e9c";402,592;"B";"BRA";0;177;"2010-01-11";"2010-12-30";"2010";"01"
"28e2e888b9692eaec1ad99b73310ce61";960,424;"A";"BRA";6324322;234;"2010-01-11";"2010-12-23";"2010";"01"
"28e2e888b9692eaec1ad99b73310ce61";960,424;"A";"BRA";42404858;376;"2010-01-11";"2010-12-23";"2010";"01"
"2e380baf0de01a7322aa82551af0171a";818,632;"A";"BRA";40981890;874;"2010-01-11";"2010-12-21";"2010";"01"
"cba12309535996a786052cc4d8a8ca82";1473,136;"A";"BRA";41530616;512;"2010-01-11";"2010-12-28";"2010";"01"
"0d0642c83703df3922b5834359829daf";548,712;"A";"BRA";42753952;818;"2010-01-11";"2010-12-23";"2010";"01"
"bf38f6c2c3005abe3aabf271c0b3c19a";720,52;"A";"BRA";41650912;573;"2010-01-11";"2011-01-20";"2010";"01"
"7fac810a339b9213ab73954837451c94";1201,048;"A";"BRA";41650912;573;"2010-01-11";"2010-12-18";"2010";"01"
"7fac810a339b9213ab73954837451c94";1201,048;"A";"BRA";3343962;461;"2010-01-11";"2010-12-18";"2010";"01"
"7fac810a339b9213ab73954837451c94";1295,728;"A";"BRA";164665380;413;"2010-01-11";"2011-01-24";"2010";"01"
"26914180862aaf3e65d05e6c554668f0";1009,6;"A";"BRA";42753952;818;"2010-01-11";"2010-12-22";"2010";"01"
"26914180862aaf3e65d05e6c554668f0";1009,6;"A";"BRA";41635484;215;"2010-01-11";"2010-12-22";"2010";"01"
"26914180862aaf3e65d05e6c554668f0";1009,6;"A";"BRA";41921818;818;"2010-01-11";"2010-12-22";"2010";"01"
"26914180862aaf3e65d05e6c554668f0";1009,6;"A";"BRA";164734230;352;"2010-01-11";"2010-12-23";"2010";"01"
"26914180862aaf3e65d05e6c554668f0";1009,6;"A";"BRA";164734230;352;"2010-01-11";"2010-12-23";"2010";"01"
"26914180862aaf3e65d05e6c554668f0";1083,76;"A";"BRA";42753952;818;"2010-01-11";"2011-01-12";"2010";"01"
"2047c47100b174c9ae5fe33bc6c802be";679,328;"A";"BRA";41114292;874;"2010-01-11";"2011-01-17";"2010";"01"
"326c69ef8138a629996c016bff13f5df";1173,44;"A";"BRA";6185030;437;"2010-01-11";"2011-01-17";"2010";"01"
"e812bbe916505738fd5024b0118d13d6";889,52;"A";"BRA";41948978;252;"2010-01-11";"2011-01-07";"2010";"01"
"1b394888f0c5999f18808cc6d0e4b42b";1126,56;"A";"BRA";41114296;874;"2010-01-11";"2011-01-24";"2010";"01"
"b5814c9c0e3fc2e590273a3db6a8ace5";1231,104;"A";"BRA";6185030;437;"2010-01-11";"2010-12-28";"2010";"01"
"fae5ee409eb9b32a350439e55cc2463c";1298,4;"A";"BRA";6185030;437;"2010-01-11";"2011-01-04";"2010";"01"
"56f754b10f5c1e8b508ed99276c80236";1252,04;"A";"BRA";42753952;818;"2010-01-11";"2011-01-20";"2010";"01"
"56f754b10f5c1e8b508ed99276c80236";1252,04;"A";"BRA";41114296;874;"2010-01-11";"2011-01-20";"2010";"01"
"7692b770ff6f75a2e60ccc4c5867bab0";1214,704;"A";"BRA";42526448;373;"2010-01-11";"2011-01-24";"2010";"01"
"ef885d0768755b5bc574f8f16d919431";952,424;"A";"BRA";7972866;762;"2010-01-11";"2010-12-23";"2010";"01"
"e991fdd1385aee014e253a2937aa76f5";377,76;"B";"BRA";16582086;177;"2010-01-11";"2011-01-03";"2010";"01"
"3ddb1f07de092e40e54278fb4a779285";47,136;"B";"BRA";41933480;818;"2010-01-11";"2011-01-17";"2010";"01"
"ab2c160c5112ecb8a8b574f9c3c81dc2";996,776;"A";"BRA";41059276;827;"2010-01-12";"2011-01-05";"2010";"01"
"8f9bb6cadd2e48efebc67167cd539c4d";1693,32;"A";"BRA";42307936;263;"2010-01-12";"2011-01-17";"2010";"01"
"8f9bb6cadd2e48efebc67167cd539c4d";1693,32;"A";"BRA";41871042;263;"2010-01-12";"2011-01-17";"2010";"01"
"6688eee0b97c3bc85584d2bd48527c22";1045,472;"A";"BRA";18000702;215;"2010-01-12";"2011-01-03";"2010";"01"
"434a3cc22a8a5d038bc0d2095540907c";903,064;"A";"BRA";42020038;311;"2010-01-12";"2011-01-08";"2010";"01"
"2eba92309eb411b5b35906dd06f57250";999,992;"A";"BRA";6185030;437;"2010-01-12";"2011-01-07";"2010";"01"
"2eba92309eb411b5b35906dd06f57250";999,992;"A";"BRA";41114296;874;"2010-01-12";"2011-01-07";"2010";"01"
"9d5a6b8d52140f6588a756f4cc9f54df";1107,624;"A";"BRA";42753952;818;"2010-01-12";"2011-01-19";"2010";"01"
"9d5a6b8d52140f6588a756f4cc9f54df";1107,624;"A";"BRA";42753952;818;"2010-01-12";"2011-01-19";"2010";"01"
"ab355d9cbddc0f5a6e53d6de7286cbab";1376,008;"A";"BRA";41561484;832;"2010-01-12";"2011-01-12";"2010";"01"
"ab355d9cbddc0f5a6e53d6de7286cbab";1376,008;"A";"BRA";164734226;352;"2010-01-12";"2011-01-12";"2010";"01"
"a14b7202f3f9c3fd614502b94c31a721";759;"A";"BRA";42020038;311;"2010-01-12";"2011-01-13";"2010";"01"
"6c15c26adaa2040c4f4b9f51ece1de2a";846,728;"B";"BRA";41138902;386;"2010-01-12";"2011-01-21";"2010";"01"
"abc63de31a13aae79de63fd13f9f4813";1538,904;"A";"BRA";40911966;846;"2010-01-13";"2011-01-15";"2010";"01"
"c8aec721f6f0e25d81c34b7a998a03a5";1213,72;"A";"BRA";41871042;263;"2010-01-13";"2011-01-11";"2010";"01"
"eeff261c9b6f3144299e6c5021abf0b0";1156,696;"A";"BRA";40855878;642;"2010-01-13";"2011-01-05";"2010";"01"
"eeff261c9b6f3144299e6c5021abf0b0";1223,216;"A";"BRA";42753952;818;"2010-01-13";"2011-01-24";"2010";"01"
"fb47fe9fabb894f291e5a672f4f7b997";733,264;"A";"BRA";42526448;373;"2010-01-13";"2010-12-30";"2010";"01"
"14dc381794d66c9908b6f5ae727518d1";1218,384;"A";"BRA";42067998;364;"2010-01-13";"2011-01-05";"2010";"01"
"46266bcdc7c4adce751278839bc384ed";392,824;"A";"BRA";41086142;251;"2010-01-13";"2010-12-23";"2010";"01"
"004e38681feba14dafb7784fc98de4f1";1237,216;"A";"BRA";42753952;818;"2010-01-13";"2011-01-21";"2010";"01"
"e0748df958db4be1d798e8a7cb71af26";845,424;"A";"BRA";42753952;818;"2010-01-13";"2011-01-12";"2010";"01"
"222400f04545938abe0011f0b3664dc1";799,064;"A";"BRA";164734226;352;"2010-01-13";"2010-12-14";"2010";"01"
"222400f04545938abe0011f0b3664dc1";799,064;"A";"BRA";164734230;352;"2010-01-13";"2010-12-14";"2010";"01"
"222400f04545938abe0011f0b3664dc1";799,064;"A";"BRA";164734230;352;"2010-01-13";"2010-12-14";"2010";"01"
"222400f04545938abe0011f0b3664dc1";833,512;"A";"BRA";41180504;432;"2010-01-13";"2010-12-23";"2010";"01"
"05d15ae3ff6a6a1b3c51c90841cbdba0";90,608;"B";"BRA";0;177;"2010-01-14";"2010-12-02";"2010";"01"
"05d15ae3ff6a6a1b3c51c90841cbdba0";102,216;"B";"BRA";41933480;818;"2010-01-14";"2011-01-11";"2010";"01"
"05d15ae3ff6a6a1b3c51c90841cbdba0";102,216;"B";"BRA";41425750;818;"2010-01-14";"2011-01-11";"2010";"01"
"a10f7a00732c1a82c08124df9f9d4b1e";742,416;"A";"BRA";40904304;563;"2010-01-14";"2011-01-10";"2010";"01"
"d5e97f8cd7535118e00ceb7b76f042c7";485,304;"A";"BRA";0;177;"2010-01-14";"2011-01-03";"2010";"01"
"d5e97f8cd7535118e00ceb7b76f042c7";485,304;"A";"BRA";42753952;818;"2010-01-14";"2011-01-03";"2010";"01"
"e019360b72ed5f2476b4ee287ac64fba";985,784;"A";"BRA";41114296;874;"2010-01-14";"2010-12-09";"2010";"01"
"b7ea68417d5553afcf5afe1e8868c205";1256,176;"A";"BRA";41464602;386;"2010-01-14";"2011-01-03";"2010";"01"
"bf3940dcb7efaab60d8684eacae085c5";760,56;"A";"BRA";42709194;364;"2010-01-14";"2010-12-29";"2010";"01"
"9a56ffb2dcbad359958aab02f227078a";1136,688;"A";"BRA";16379332;413;"2010-01-14";"2011-01-07";"2010";"01"
"22f07abeb3d336e0e6d3a596db2913d0";1007,664;"A";"BRA";41114296;874;"2010-01-14";"2011-01-07";"2010";"01"
"237f26140a018ba6fe311933153d55b6";1053,712;"A";"BRA";13779082;255;"2010-01-14";"2011-01-18";"2010";"01"
"9bb5c50542aa4f160030364e64df1fc1";1080,584;"A";"BRA";42233754;271;"2010-01-14";"2010-12-04";"2010";"01"
"9bb5c50542aa4f160030364e64df1fc1";1080,584;"A";"BRA";42233754;271;"2010-01-14";"2010-12-04";"2010";"01"
"b565e99075c42f35d7e6d4213d97b95c";374,344;"B";"BRA";0;177;"2010-01-14";"2010-12-27";"2010";"01"
"b565e99075c42f35d7e6d4213d97b95c";374,344;"B";"BRA";42207248;874;"2010-01-14";"2010-12-24";"2010";"01"
"9dcc69715266dff3998f770bf382451b";147,28;"B";"BRA";0;177;"2010-01-15";"2010-11-29";"2010";"01"
"9dcc69715266dff3998f770bf382451b";260,296;"B";"BRA";0;177;"2010-01-15";"2011-01-11";"2010";"01"
"a6ee28e5976f0c6b13d65e9c1f4828b5";701,224;"B";"BRA";42537966;431;"2010-01-15";"2011-01-05";"2010";"01"
"a6ee28e5976f0c6b13d65e9c1f4828b5";701,224;"B";"BRA";41037792;212;"2010-01-15";"2011-01-05";"2010";"01"
"060627e2a4fb975460e4fd6ce73dbdcc";1672,8;"A";"BRA";42020038;311;"2010-01-15";"2011-01-10";"2010";"01"
"edfc48bb1aa2d1b8f269109a777a6aaa";990,768;"A";"BRA";42020038;311;"2010-01-15";"2011-01-10";"2010";"01"
"4a46911d64eab007f00cb0f9038b6f3b";956,192;"A";"BRA";42753952;818;"2010-01-15";"2010-12-27";"2010";"01"
"4a46911d64eab007f00cb0f9038b6f3b";956,192;"A";"BRA";164734230;352;"2010-01-15";"2010-12-27";"2010";"01"
"4a46911d64eab007f00cb0f9038b6f3b";956,192;"A";"BRA";164734226;352;"2010-01-15";"2010-12-27";"2010";"01"
"41599c59e6bc0c26716e80e44c631896";1213,76;"A";"BRA";16342900;432;"2010-01-15";"2010-12-27";"2010";"01"
"0a2d9c8012ba55729629c110f328a588";749,488;"A";"BRA";3252194;252;"2010-01-15";"2010-12-23";"2010";"01"
"0a2d9c8012ba55729629c110f328a588";749,488;"A";"BRA";164734226;352;"2010-01-15";"2010-12-23";"2010";"01"
"0a2d9c8012ba55729629c110f328a588";749,488;"A";"BRA";164734230;352;"2010-01-15";"2010-12-23";"2010";"01"
"0a2d9c8012ba55729629c110f328a588";749,488;"A";"BRA";164734230;352;"2010-01-15";"2010-12-23";"2010";"01"
"0a2d9c8012ba55729629c110f328a588";749,488;"A";"BRA";42753952;818;"2010-01-15";"2010-12-23";"2010";"01"
"e5588a12ceb8c832a6264602f3ae5e38";618,32;"A";"BRA";41086142;251;"2010-01-15";"2011-01-15";"2010";"01"
"21702e328927352f1e687eb2f6398ee3";1177,416;"A";"BRA";42753952;818;"2010-01-15";"2011-01-19";"2010";"01"
"21702e328927352f1e687eb2f6398ee3";1169,096;"A";"BRA";41871042;263;"2010-01-15";"2011-01-17";"2010";"01"
"7445c510648403c86c050e3bc1b25622";503,44;"A";"PER";500730;642;"2010-01-15";"2010-11-02";"2010";"01"
"37eea4f015291efbd2b3297ad454c59d";525,368;"A";"PER";41768206;561;"2010-01-15";"2010-12-20";"2010";"01"
"c0b90d2bb269e00e40d0e5090fe18bf7";1136,672;"A";"BRA";41174250;874;"2010-01-18";"2010-12-27";"2010";"01"
"c0b90d2bb269e00e40d0e5090fe18bf7";1142,736;"A";"BRA";42020038;311;"2010-01-18";"2011-01-05";"2010";"01"
"af266657a0e845aaab807e5576722166";963,152;"A";"BRA";42739042;363;"2010-01-18";"2011-01-11";"2010";"01"
"af266657a0e845aaab807e5576722166";963,152;"A";"BRA";42020038;311;"2010-01-18";"2011-01-11";"2010";"01"
"be923dead0bbcecbb570c321c41ac48f";1199,872;"A";"BRA";42194896;353;"2010-01-18";"2011-01-06";"2010";"01"
"fecb9b341b444748d4b4c2b5808754ee";1176,088;"A";"BRA";42753952;818;"2010-01-18";"2011-01-19";"2010";"01"
"2f1b8231361177c97b95e0dd84c39e82";429,208;"A";"PER";2152404;812;"2010-01-18";"2010-12-27";"2010";"01"
"0afc14fb09e0c2ac84e76c8706ea5d54";65,072;"B";"BRA";0;177;"2010-01-18";"2010-12-29";"2010";"01"
"845e5375f5cf35633660428686c8cc53";521,808;"B";"BRA";42458106;722;"2010-01-18";"2010-12-17";"2010";"01"
"3106ba4faec36a29ccf970682b2cc928";372,024;"B";"BRA";0;177;"2010-01-19";"2011-01-05";"2010";"01"
"70ff4325bdde3b82803dca61e1b06581";383,048;"B";"BRA";0;177;"2010-01-19";"2011-01-03";"2010";"01"
"70ff4325bdde3b82803dca61e1b06581";383,048;"B";"BRA";42481384;381;"2010-01-19";"2011-01-03";"2010";"01"
"3e19981534db9ff487a0c1b459472ffe";705,92;"B";"BRA";170219360;213;"2010-01-19";"2011-01-07";"2010";"01"
"567883d7db90ce5f2d2b47778335b3ba";345,568;"B";"BRA";0;177;"2010-01-19";"2010-12-18";"2010";"01"
"567883d7db90ce5f2d2b47778335b3ba";345,568;"B";"BRA";41933480;818;"2010-01-19";"2010-12-18";"2010";"01"
"7ba0e6d91e44bff17a02d3f5d71a4097";1157,36;"A";"BRA";42020038;311;"2010-01-19";"2011-01-06";"2010";"01"
"7ba0e6d91e44bff17a02d3f5d71a4097";1099,128;"A";"BRA";42709194;364;"2010-01-19";"2010-12-21";"2010";"01"
"7ba0e6d91e44bff17a02d3f5d71a4097";1099,128;"A";"BRA";42020038;311;"2010-01-19";"2010-12-21";"2010";"01"
"96c57931e3471e683d0c83471e4c5d33";1015,592;"A";"BRA";2139992;465;"2010-01-19";"2010-12-28";"2010";"01"
"de59dc3fae939993750e7fd452f05133";973,456;"A";"BRA";164734230;352;"2010-01-19";"2010-12-21";"2010";"01"
"de59dc3fae939993750e7fd452f05133";973,456;"A";"BRA";1941110;371;"2010-01-19";"2010-12-21";"2010";"01"
"c5e3c8f749bc07d0e9e1bc7f6d572816";701,2;"A";"BRA";41595672;364;"2010-01-19";"2011-01-12";"2010";"01"
"1c7003914bb017c9601d570139e76d9e";734,688;"A";"BRA";41406838;481;"2010-01-19";"2011-01-20";"2010";"01"
"1c7003914bb017c9601d570139e76d9e";716,392;"A";"BRA";42020038;311;"2010-01-19";"2011-01-03";"2010";"01"
"1c7003914bb017c9601d570139e76d9e";716,392;"A";"BRA";42020038;311;"2010-01-19";"2011-01-03";"2010";"01"
"d3b43d44c675a718c56b352c4aca67bb";1126,64;"A";"BRA";42020038;311;"2010-01-19";"2010-12-28";"2010";"01"
"d3b43d44c675a718c56b352c4aca67bb";1126,64;"A";"BRA";41180504;432;"2010-01-19";"2010-12-28";"2010";"01"
"d3b43d44c675a718c56b352c4aca67bb";1126,64;"A";"BRA";42404858;376;"2010-01-19";"2010-12-28";"2010";"01"
